,Hotel name,Min price,Stars,Chech in/out,Comments, TV, Pool, Parking, Wi-Fi, Conference Room, Air Conditioning, Breakfast, Cafe, Jacuzzi, Restaurant,     TV,     Ավտոկայանատեղի ,     Wi-Fi ինտերնետ,     Ֆեն,     Կոնֆերանս Դահլիճ,     Օդորակիչ,     Նախաճաշ,     Սեյֆ,     Մինիբար,     Զգեստապահարան,     Հեռախոս,     Սեղան/Գրասեղան,    Լողասենյակ , Laundry, Room service, Safe, Minibar, Wardrobe, Phone, Bathroom, Dryer, Playground, Fitness, Table/Desk, Billiards, Refrigerator, SPA, Kitchen, Grill/BBQ, Garden, Table tennis, Cottages, Kid's room, FB meal, HB meal, Microwave, Pets allowed, Tennis
28,Hover Boutique Hotel,25000,0,"Check in: 14:00
Check out: 12:00",0,,, Parking, Wi-Fi, Conference Room,, Breakfast, Cafe,, Restaurant,,,,,,,,,,,,,, Laundry, Room service, Safe,, Wardrobe, Phone, Bathroom, Dryer,,, Table/Desk,,,,,, Garden,, Cottages, Kid's room,,,,,
29,Kochar Garden Hotel Yerevan,18000,4,"Check in: 14:00
Check out: 12:00",0,, Pool,, Wi-Fi,,, Breakfast, Cafe, Jacuzzi, Restaurant,,,,,,,,,,,,,,,, Safe,,, Phone, Bathroom, Dryer,,, Table/Desk,, Refrigerator,,, Grill/BBQ, Garden,,,,,,,,
30,Tsaghkadzori Tun,80000,0,"Check in: 14:00
Check out: 12:00",1, TV,, Parking,,,,,,,,,,,,,,,,,,,,,,,,, Wardrobe,, Bathroom,,,, Table/Desk,,,, Kitchen,, Garden,,,,,,,,
31,Garni HinYard,0,0,"Check in: 14:00
Check out: 12:00",0,, Pool, Parking, Wi-Fi,,, Breakfast, Cafe,, Restaurant,,,,,,,,,,,,,, Laundry, Room service,,, Wardrobe,,, Dryer,,, Table/Desk,,,,, Grill/BBQ, Garden,,,, FB meal, HB meal,,,
32,Kirch Hotel,20400,0,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi,, Air Conditioning, Breakfast, Cafe, Jacuzzi, Restaurant,,,,,,,,,,,,,,,,,, Wardrobe, Phone, Bathroom, Dryer,,, Table/Desk,, Refrigerator,,, Grill/BBQ,,,,, FB meal, HB meal,,,
33,California Boutique Hotel,13000,0,"Check in: 13:00
Check out: 12:00",0, TV,, Parking, Wi-Fi,, Air Conditioning, Breakfast, Cafe,, Restaurant,,,,,,,,,,,,,, Laundry, Room service,, Minibar, Wardrobe,, Bathroom, Dryer, Playground,,,, Refrigerator,,,,,,,, FB meal, HB meal, Microwave,,
34,Zangezur Hotel,8000,0,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi, Conference Room, Air Conditioning, Breakfast, Cafe,, Restaurant,,,,,,,,,,,,,, Laundry, Room service,,, Wardrobe, Phone, Bathroom, Dryer,,, Table/Desk,, Refrigerator,,, Grill/BBQ,,,,, FB meal, HB meal,, Pets allowed,
35,Edem Hotel,20000,0,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi,,, Breakfast,,,,,,,,,,,,,,,,,,,,, Wardrobe,, Bathroom, Dryer, Playground,, Table/Desk,, Refrigerator,, Kitchen, Grill/BBQ, Garden, Table tennis,,, FB meal, HB meal,,,
36,Har-Mar Hotel,8000,0,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi,,,,,,,,,,,,,,,,,,,,, Room service,,,,, Bathroom,,,, Table/Desk,, Refrigerator,, Kitchen,,,,,,,,,,
37,Cozy House Dilijan,25000,0,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi,,, Breakfast,,,,,,,,,,,,,,,,,,, Safe,,,, Bathroom, Dryer, Playground,, Table/Desk,, Refrigerator,,,, Garden,,,,,,,,
38,Menua Resort,12000,0,"Check in: 14:00
Check out: 12:00",0, TV, Pool, Parking, Wi-Fi, Conference Room, Air Conditioning, Breakfast,,, Restaurant,,,,,,,,,,,,,, Laundry, Room service,,,,, Bathroom, Dryer, Playground,, Table/Desk,, Refrigerator,,, Grill/BBQ, Garden, Table tennis,,, FB meal, HB meal,, Pets allowed,
39,Areguni Guest House,12000,0,"Check in: 14:00
Check out: 12:00",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Vale Hotel,10000,0,"Check in: 12:00
Check out: 14:00",0, TV,, Parking, Wi-Fi,, Air Conditioning, Breakfast, Cafe,, Restaurant,,,,,,,,,,,,,, Laundry, Room service,,, Wardrobe, Phone, Bathroom, Dryer,,, Table/Desk,, Refrigerator,,, Grill/BBQ,,,,, FB meal, HB meal,,,
41,Hotel Felisa,16000,0,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi,, Air Conditioning, Breakfast,,,,,,,,,,,,,,,,,, Room service,, Minibar, Wardrobe, Phone, Bathroom, Dryer,,, Table/Desk,, Refrigerator,,,,,,,,,,,,
42,Getap Rest House in Bjni,20000,0,"Check in: 14:00
Check out: 12:00",0, TV, Pool, Parking, Wi-Fi,,, Breakfast,,,,,,,,,,,,,,,,,, Room service,,, Wardrobe,, Bathroom, Dryer, Playground,, Table/Desk,, Refrigerator,, Kitchen, Grill/BBQ, Garden,,,, FB meal, HB meal,, Pets allowed,
43,Hotel Fenix Complex,15000,0,"Check in: 14:00
Check out: 12:00",0, TV, Pool, Parking, Wi-Fi, Conference Room, Air Conditioning, Breakfast, Cafe,, Restaurant,,,,,,,,,,,,,,, Room service,, Minibar, Wardrobe, Phone, Bathroom, Dryer,, Fitness, Table/Desk, Billiards, Refrigerator,,, Grill/BBQ,,,,,, HB meal,,,
44,Vorotnavan Rest Home,5000,0,"Check in: 14:00
Check out: 12:00",0,, Pool, Parking, Wi-Fi, Conference Room,, Breakfast, Cafe,, Restaurant,,,,,,,,,,,,,, Laundry, Room service,,, Wardrobe,,, Dryer, Playground,,,,,, Kitchen, Grill/BBQ, Garden,,,,,,, Pets allowed,
45,Flora Hotel,5000,0,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi, Conference Room,, Breakfast,,, Restaurant,,,,,,,,,,,,,, Laundry, Room service,,, Wardrobe,, Bathroom, Dryer,,, Table/Desk,, Refrigerator,, Kitchen, Grill/BBQ, Garden,,,, FB meal, HB meal,,,
46,Grand House,15000,0,"Check in: 14:00
Check out: 12:00",0, TV, Pool, Parking, Wi-Fi,, Air Conditioning, Breakfast,,,,,,,,,,,,,,,,, Laundry, Room service,,, Wardrobe, Phone, Bathroom, Dryer,,, Table/Desk, Billiards, Refrigerator,,, Grill/BBQ, Garden,,,,,,,,
47,Vanatur Hotel,20000,0,"Check in: 14:00
Check out: 12:00",0, TV, Pool, Parking, Wi-Fi, Conference Room, Air Conditioning, Breakfast, Cafe, Jacuzzi, Restaurant,,,,,,,,,,,,,,, Room service,, Minibar, Wardrobe, Phone, Bathroom, Dryer,, Fitness, Table/Desk,, Refrigerator,,, Grill/BBQ,,,, Kid's room,,,,,
48,Asour Hotel,15000,0,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi,,, Breakfast,,,,,,,,,,,,,,,,, Laundry, Room service,, Minibar, Wardrobe,, Bathroom, Dryer,,, Table/Desk,, Refrigerator,,, Grill/BBQ, Garden,,,,,,, Pets allowed,
49,Rubin Hotel,12000,0,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi, Conference Room,, Breakfast, Cafe,, Restaurant,,,,,,,,,,,,,, Laundry, Room service, Safe,, Wardrobe, Phone, Bathroom, Dryer,,, Table/Desk,, Refrigerator,,, Grill/BBQ, Garden,, Cottages,, FB meal,,,,
50,Getahovit Resort,25000,0,"Check in: 13:00
Check out: 12:00",0, TV,, Parking, Wi-Fi,, Air Conditioning, Breakfast, Cafe,, Restaurant,,,,,,,,,,,,,,, Room service,,, Wardrobe,, Bathroom, Dryer, Playground,, Table/Desk,, Refrigerator,,, Grill/BBQ, Garden,, Cottages,,,,, Pets allowed,
51,Lider Complex,9000,0,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi, Conference Room, Air Conditioning, Breakfast, Cafe, Jacuzzi, Restaurant,,,,,,,,,,,,,, Laundry, Room service, Safe,, Wardrobe, Phone, Bathroom, Dryer, Playground,, Table/Desk,, Refrigerator,,, Grill/BBQ, Garden,,,,,,, Pets allowed,
52,Khoreayi Dzor,20000,0,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi,, Air Conditioning, Breakfast, Cafe,, Restaurant,,,,,,,,,,,,,,, Room service,,, Wardrobe,, Bathroom, Dryer,,, Table/Desk,,,,, Grill/BBQ, Garden,,,,,,,,
53,Artsvik Hotel,18000,4,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi,,, Breakfast,,, Restaurant,,,,,,,,,,,,,,, Room service,,, Wardrobe, Phone, Bathroom, Dryer,,, Table/Desk,, Refrigerator,, Kitchen, Grill/BBQ, Garden, Table tennis, Cottages,, FB meal, HB meal,,,
54,S & M hotel,8000,0,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi,, Air Conditioning, Breakfast,,, Restaurant,,,,,,,,,,,,,,, Room service,,, Wardrobe, Phone, Bathroom, Dryer,,, Table/Desk,,,,,,,,,,,,,,
55,Arevi Hotel,20000,0,"Check in: 14:00
Check out: 12:00",0,,, Parking, Wi-Fi,, Air Conditioning, Breakfast,,, Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, FB meal,,,,
56,Harsnadzor Eco Resort,10000,2,"Check in: 14:00
Check out: 12:00",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Olympic Hotel,17000,0,"Check in: 14:00
Check out: 12:00",0, TV, Pool, Parking, Wi-Fi, Conference Room, Air Conditioning, Breakfast,, Jacuzzi, Restaurant,,,,,,,,,,,,,,, Room service,,, Wardrobe,, Bathroom, Dryer, Playground,, Table/Desk, Billiards, Refrigerator,,,,, Table tennis,,,,,,,
58,Russo Hotel,12000,5,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi,, Air Conditioning, Breakfast,,,,,,,,,,,,,,,,, Laundry, Room service,, Minibar, Wardrobe, Phone, Bathroom, Dryer,,, Table/Desk,,,,,,,,,,,,,,
59,SH Resort Hotel,10000,4,"Check in: 14:00
Check out: 12:00",0, TV, Pool, Parking, Wi-Fi, Conference Room,, Breakfast, Cafe,, Restaurant,,,,,,,,,,,,,,, Room service,,, Wardrobe, Phone, Bathroom,, Playground,, Table/Desk, Billiards, Refrigerator,,, Grill/BBQ, Garden, Table tennis,,, FB meal, HB meal,,,
60,Avan Plaza Hotel,25000,0,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi,,, Breakfast,,,,,,,,,,,,,,,,,,,, Minibar,,,,,,,,,,,,,,,,,,,,,
61,Belveder Eco Resort,17000,3,"Check in: 14:00
Check out: 12:00",0,,, Parking, Wi-Fi,,, Breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Arzni Polyclinic - Sanatorium,27000,0,"Check in: 11:00
Check out: 11:00",0, TV, Pool,, Wi-Fi, Conference Room,,,,, Restaurant,,,,,,,,,,,,,,,,,,,,,,, Fitness,, Billiards,, SPA,,, Garden, Table tennis,,,,,,,
63,Grand Resort Jermuk,25000,5,"Check in: 15:00
Check out: 12:00",0, TV, Pool, Parking, Wi-Fi, Conference Room, Air Conditioning, Breakfast, Cafe, Jacuzzi, Restaurant,,,,,,,,,,,,,,, Room service, Safe,, Wardrobe, Phone, Bathroom,,, Fitness,, Billiards, Refrigerator, SPA,,, Garden,,, Kid's room,,,,,
64,Lilit Resort,24000,3,"Check in: 14:00
Check out: 12:00",0, TV, Pool, Parking, Wi-Fi, Conference Room,,, Cafe,, Restaurant,,,,,,,,,,,,,,,,,,,,,, Playground,,, Billiards, Refrigerator,,, Grill/BBQ, Garden, Table tennis,,, FB meal,,,,
65,Sion Resort,32000,0,"Check in: 14:00
Check out: 12:00",0,, Pool, Parking, Wi-Fi, Conference Room,,,,, Restaurant,,,,,,,,,,,,,,,,,,, Phone, Bathroom,,,, Table/Desk, Billiards,,,,,, Table tennis,,, FB meal,,,,
66,Nairi Spa Resorts,28000,4,"Check in: 14:00
Check out: 12:00",5, TV, Pool, Parking, Wi-Fi, Conference Room,, Breakfast,, Jacuzzi, Restaurant,,,,,,,,,,,,,, Laundry, Room service, Safe, Minibar, Wardrobe, Phone, Bathroom, Dryer, Playground, Fitness, Table/Desk, Billiards,, SPA,, Grill/BBQ, Garden, Table tennis, Cottages,,, HB meal,,,
67,Apricot Hotels and Resorts,34000,4,"Check in: 14:00
Check out: 12:00",0, TV, Pool, Parking, Wi-Fi,,,,, Jacuzzi, Restaurant,,,,,,,,,,,,,,,,, Minibar, Wardrobe, Phone, Bathroom, Dryer, Playground,, Table/Desk, Billiards, Refrigerator,, Kitchen,,, Table tennis,,, FB meal,,,, Tennis
68,ZCMC Hotel,14000,0,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi,, Air Conditioning, Breakfast,,,,,,,,,,,,,,,,, Laundry, Room service,,,,, Bathroom,,,,,,,,,,,,,,,,,,
69,Iris Guest House,10000,0,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi,,, Breakfast, Cafe,,,,,,,,,,,,,,,,, Room service,,, Wardrobe,, Bathroom, Dryer,,,,,,,, Grill/BBQ, Garden, Table tennis,,, FB meal,,,,
70,Takht-House Guest house,60000,0,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi,,,,,,,,,,,,,,,,,,,,,, Safe,,,,,, Playground,,,,,, Kitchen, Grill/BBQ, Garden,,, Kid's room,,,,,
71,Magnit Guesthouse,5000,0,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi,,, Breakfast,,, Restaurant,,,,,,,,,,,,,,, Room service,,,,,, Dryer, Playground,,,,,, Kitchen, Grill/BBQ,,,,,,,,,
72,Nur Hotel & Resort,20000,3,"Check in: 14:00
Check out: 12:00",0,, Pool, Parking, Wi-Fi, Conference Room,,,,,,,,,,,,,,,,,,,,,,,,, Bathroom,, Playground,, Table/Desk, Billiards,,,,,, Table tennis,,,, HB meal,,,
73,Harsnaqar Hotel,25000,3,"Check in: 14:00
Check out: 12:00",0, TV, Pool, Parking, Wi-Fi, Conference Room,, Breakfast, Cafe,, Restaurant,,,,,,,,,,,,,,, Room service,,,,,, Dryer, Playground,,, Billiards,,,,,,,,,,,,, Tennis
74,Argishti Hotel,10000,3,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi, Conference Room,, Breakfast,,, Restaurant,,,,,,,,,,,,,, Laundry, Room service,, Minibar, Wardrobe, Phone, Bathroom, Dryer,,, Table/Desk,, Refrigerator,,, Grill/BBQ,,,,,,,,,
75,Gayane Hotel,12000,0,"Check in: 14:00
Check out: 12:00",0, TV, Pool, Parking, Wi-Fi,,, Breakfast, Cafe,, Restaurant,,,,,,,,,,,,,,, Room service,,, Wardrobe, Phone, Bathroom,, Playground, Fitness, Table/Desk, Billiards, Refrigerator,,, Grill/BBQ, Garden,,,,,,,,
76,Tsaghkahovit Hotel,10000,3,"Check in: 14:00
Check out: 12:00",0, TV,, Parking, Wi-Fi, Conference Room,,,,, Restaurant,,,,,,,,,,,,,, Laundry,,,,,,,, Playground,,, Billiards,,,,,,,, Kid's room,,,,,
77,Saya Hotel,15000,3,"Check in: 14:00
Check out: 12:00",0,,, Parking, Wi-Fi,,, Breakfast, Cafe, Jacuzzi,,,,,,,,,,,,,,,,,,,,,,, Playground,,, Billiards,,,,, Garden, Table tennis,, Kid's room,,,,,
