,Air Conditioning,Bathroom,Billiards,Breakfast,Cafe,Comments,Conference Room,Cottages,Dryer,FB meal,Fitness,Garden,Grill/BBQ,HB meal,Hotel name,Jacuzzi,Kid's room,Kitchen,Laundry,Microwave,Min price,Minibar,Parking,Pets allowed,Phone,Playground,Pool,Refrigerator,Restaurant,Room service,SPA,Safe,Stars,Table tennis,Table/Desk,Tennis,Wardrobe,Wi-Fi,Chech in,Chech out
54,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available,not available,not available,not available,S & M hotel,not available,not available,not available,not available,not available,8000.0,Minibar,Parking,not available,Phone,not available,not available,not available, Restaurant, Room service,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
55,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer, FB meal,not available,not available,not available,not available,Arevi Hotel,not available,not available,not available,not available,not available,20000.0,Minibar,Parking,not available,Phone,not available,not available,not available, Restaurant,not available,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
56,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available,not available,not available,not available,Harsnadzor Eco Resort,not available,not available,not available,not available,not available,10000.0,Minibar,Parking,not available,Phone,not available,not available,not available,not available,not available,not available,Safe,2,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
57,Air Conditioning,Bathroom, Billiards,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available,not available,not available,not available,Olympic Hotel, Jacuzzi,not available,not available,not available,not available,17000.0,Minibar,Parking,not available,Phone, Playground, Pool, Refrigerator, Restaurant, Room service,not available,Safe,0, Table tennis,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
58,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available,not available,not available,not available,Russo Hotel,not available,not available,not available, Laundry,not available,12000.0,Minibar,Parking,not available,Phone,not available,not available,not available,not available, Room service,not available,Safe,5,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
59,Air Conditioning,Bathroom, Billiards,Breakfast, Cafe,0,Conference Room,not available,Dryer, FB meal,not available, Garden, Grill/BBQ, HB meal,SH Resort Hotel,not available,not available,not available,not available,not available,10000.0,Minibar,Parking,not available,Phone, Playground, Pool, Refrigerator, Restaurant, Room service,not available,Safe,4, Table tennis,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
60,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available,not available,not available,not available,Avan Plaza Hotel,not available,not available,not available,not available,not available,25000.0,Minibar,Parking,not available,Phone,not available,not available,not available,not available,not available,not available,Safe,0,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
61,Air Conditioning,Bathroom,not available,Breakfast,not available,0,Conference Room,not available,Dryer,not available,not available,not available,not available,not available,Belveder Eco Resort,not available,not available,not available,not available,not available,17000.0,Minibar,Parking,not available,Phone,not available,not available,not available,not available,not available,not available,Safe,3,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 14:00:00,2022-05-02 12:00:00
62,Air Conditioning,Bathroom, Billiards,Breakfast,not available,0,Conference Room,not available,Dryer,not available, Fitness, Garden,not available,not available,Arzni Polyclinic - Sanatorium,not available,not available,not available,not available,not available,27000.0,Minibar,Parking,not available,Phone,not available, Pool,not available, Restaurant,not available, SPA,Safe,0, Table tennis,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 11:00:00,2022-05-02 11:00:00
63,Air Conditioning,Bathroom, Billiards,Breakfast, Cafe,0,Conference Room,not available,Dryer,not available, Fitness, Garden,not available,not available,Grand Resort Jermuk, Jacuzzi, Kid's room,not available,not available,not available,25000.0,Minibar,Parking,not available,Phone,not available, Pool, Refrigerator, Restaurant, Room service, SPA,Safe,5,not available,Table/Desk,not available,Wardrobe,Wi-Fi,2022-05-02 15:00:00,2022-05-02 12:00:00
